id,name,description,lengthcms,widthcms,heightcms,weightgms,valueaud
1,widget1,deep,5,41,21,4,6.2
2,widget2,duck-like,99,18,13,2,4.44
3,widget3,different,53,23,10,2,3.81
4,widget4,aware,45,33,2,3,7.22
5,widget5,witty,34,28,23,1,7.75
6,widget6,joking,56,26,15,1,7.42
7,widget7,suitable,22,1,7,5,5.65
8,widget8,self-centered,78,43,16,5,2.03
9,widget9,startling,76,26,8,1,1.2
10,widget10,misunderstood,90,17,21,3,1.74
11,widget11,entertaining,81,20,15,1,8.05
12,widget12,playful,31,32,5,2,6.52
13,widget13,competitive,45,25,16,0,9.42
14,widget14,greedy,68,49,20,2,8.93
15,widget15,happy,96,5,21,4,5.53
16,widget16,amusing,59,3,22,4,9.59
17,widget17,crawly,85,6,16,3,0.19
18,widget18,sportive,88,6,25,5,7.04
19,widget19,wooden,95,9,7,5,0.8
20,widget20,harsh,83,4,9,4,9.12
21,widget21,startled,53,5,5,5,9.3
22,widget22,slapstick,47,20,4,1,1.32
23,widget23,anxious,100,36,17,4,6.95
24,widget24,united,88,12,18,3,2.66
25,widget25,recent,80,38,19,4,5.93
26,widget26,capable,78,23,11,5,2.42
27,widget27,bonkers,19,35,11,2,2.75
28,widget28,available,12,35,4,0,1.1
29,widget29,competitive,31,6,1,4,5.99
30,widget30,yapping,54,26,17,0,3.25
31,widget31,cheerful,84,3,23,2,2.09
32,widget32,sportive,19,34,2,2,5.85
33,widget33,bearded,65,33,22,3,2.61
34,widget34,crawly,90,28,1,5,1.87
35,widget35,internet worthy,78,22,11,4,3.04
36,widget36,unlikely,50,34,22,3,7.64
37,widget37,confident,70,32,24,0,1.05
38,widget38,careful,97,26,6,5,1.68
39,widget39,self-centered,16,44,5,3,0.04
40,widget40,automatic,53,4,17,5,3.5
41,widget41,careful,16,22,20,3,9.9
42,widget42,terrible,89,27,15,0,0.17
43,widget43,hilarious,31,33,20,4,1.14
44,widget44,happy,85,40,5,2,3.72
45,widget45,out of control,25,21,12,1,5.85
46,widget46,amusing,34,1,14,5,4.6
47,widget47,flirting,37,10,8,0,1.18
48,widget48,wonderful,35,40,6,3,5.08
49,widget49,hilarious,93,13,16,2,6.49
50,widget50,laughable,37,11,3,5,1.12
51,widget51,curious,68,46,7,2,9.13
52,widget52,useless,47,26,18,0,8.93
53,widget53,witty,10,49,15,4,8.71
54,widget54,decent,1,49,8,0,2.8
55,widget55,jocose,88,45,13,0,8.9
56,widget56,inner,25,26,5,1,0.58
57,widget57,slimy,51,20,20,2,9.52
58,widget58,healthy,44,27,7,0,3.74
59,widget59,stubborn,9,39,3,3,6.27
60,widget60,zippy,18,45,5,2,6.2
61,widget61,sportive,17,34,7,1,1.6
62,widget62,confused,10,5,24,3,0.71
63,widget63,happy,5,17,8,1,9.38
64,widget64,talking,63,12,0,4,5.69
65,widget65,fiercely-loyal,40,30,19,1,3.31
66,widget66,hairless,26,28,10,5,6.89
67,widget67,risible,65,8,22,3,1.73
68,widget68,demanding,77,2,11,3,4.12
69,widget69,content,58,21,4,4,9.09
70,widget70,slimy,94,42,5,1,1.49
71,widget71,tripping,0,20,5,1,3.76
72,widget72,important,81,39,22,3,5.09
73,widget73,traditional,39,40,24,4,9.81
74,widget74,thrilled,78,4,16,4,2.86
75,widget75,tiny,31,17,19,0,1.34
76,widget76,self-centered,83,29,14,5,4.58
77,widget77,ludicrous,88,0,13,5,8.71
78,widget78,facetious,71,14,9,5,6.35
79,widget79,reasonable,14,3,9,3,6.91
80,widget80,impertinent,15,13,3,3,7.97
81,widget81,terrible,63,23,21,1,4.58
82,widget82,high-end,57,20,15,4,1.56
83,widget83,riot,24,27,13,4,6.55
84,widget84,ridiculous,1,34,18,0,2.8
85,widget85,demanding,73,39,17,2,9.63
86,widget86,informal,95,13,15,2,8.2
87,widget87,riotous,2,15,4,1,7.55
88,widget88,diverting,91,29,3,2,3.23
89,widget89,critical,80,9,13,0,3.3
90,widget90,confident,16,48,2,3,1.01
91,widget91,financial,69,27,15,1,0.13
92,widget92,medicated,10,45,21,5,6.02
93,widget93,indecent,79,29,15,3,4.11
94,widget94,traditional,0,0,15,3,5.5
95,widget95,aware,35,45,16,0,7.11
96,widget96,metal,67,33,21,2,2.97
97,widget97,every,3,36,5,0,0.8
98,widget98,critical,67,11,10,0,0.05
99,widget99,intelligent,87,31,5,5,0.13
100,widget100,happy,14,8,7,3,7.72